;;;;;;;;;;;;;
IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.;
grozdje red globe;S420;1kg;3,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
belo grozdje;S423;1kg;4,29 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio rdeèe grenivke spar natur*pur;S426;1kg;5,70 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio limone spar natur*pur;S429;1kg;3,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio limete spar natur*pur;S432;1kg;13,96 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
limone;S435;1kg;1,89 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
limete;S438;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
grenivka rdeèa;S441;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
klementine;S444;1kg;1,70 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
grenivka bela;S447;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
rdeèe pomaranèe;S450;1kg;1,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio pomaranèe spar natur*pur;S453;1kg;2,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pomaranèe natalia;S456;1kg;1,89 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
pomaranèe;S459;1kg;1,35 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
kokos;S462;1kg;2,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
papaja;S465;1kg;5,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio mango spar natur*pur;S468;1kg;12,48 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
mango;S471;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
melona rumena;S474;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio avokado spar natur*pur;S477;1kg;16,63 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
avokado;S480;1kg;4,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
ananas ekstra;S483;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio banane spar natur*pur;S486;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
banane;S489;1kg;1,29 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
banane za kuhanje,plantain;S492;1kg;2,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
banane chiquita;S495;1kg;1,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Bangros d.o.o.;638;Vojkovo nabrežje 23, 6000 Koper, Slovenija;051 231 241;
bio hruške spar natur*pur;S498;1kg;6,58 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio jabolka zlati delišes spar natur*pur;S501;1kg;5,21 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio rdeèa jabolka spar natur*pur;S504;1kg;6,65 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
jabolka jonagold;S507;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;482;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40;
jabolko zlati delišes;S510;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;482;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40;
hruške viljamovka;S513;1kg;2,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
jabolka elstar;S516;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
hruške abate;S519;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
jabolka fuji;S522;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
jabolka braeburn;S525;1kg;1,69 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
jabolka gala;S528;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;482;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40;
hruške;S531;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;470;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69;
jabolka idared;S534;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
jabolka, rdeèi delišes;S537;1kg;1,89 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Evrosad d.o.o.;328;Cesta 4. julija 134, 8270 Krško, Slovenija;031 681 546;
jabolka eliza;S540;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;482;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40;
razkosan kunec;S543;600g;12,40 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
kunèke meso;S546;500g;11,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèja prsa file in stegna;S549;1kg;8,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanèje prsi file;S552;1kg;6,60 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanèje prsi brez kože;S555;800g;4,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanec za peko;S558;1kg;3,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
puranja stegna zrezek;S561;500g;4,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanèji zrezki;S564;1kg;8,23 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanèji mini file;S567;400g;3,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
puranji file;S570;1kg;12,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
polovica zaèinjenega pišèanca za peko;S573;1kg;6,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
nadevan pišèanec za peko;S576;1kg;6,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
žrebièek zrezki spar vital;S579;1kg;17,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanèje meso po italjansko;S582;1kg;6,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranja pleskavica;S585;480g;4,75 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji file, prsi;S588;500g;5,68 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèje kraèe;S591;1kg;6,58 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèja drobovina;S594;1kg;3,88 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèji file, prsi;S597;1kg;8,37 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita Agromerkur d.o.o.;319;Industrijska ulica 8, 9000 Murska Sobota, Slovenija;02 543 92 60;
krila pišèanèje;S600;1kg;6,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;877;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999;
pišèanèje prsi;S603;1kg;3,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
file puranji;S606;1kg;8,98 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;877;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999;
pišèanèji èevapèièi;S609;400g;3,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
fit nabodalca;S612;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pikantna nabodalca;S615;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji zrezki;S618;500g;4,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèji file zrezek;S621;450g;5,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji file mala mišica;S624;1kg;12,48 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
bbq krilca;S627;500g;3,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranji èevapèièi;S630;480g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji trakci;S633;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanec razrezan za pohanje;S636;1kg;5,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèje peruti z marinaro;S639;1kg;5,61 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji kebab;S642;500g;4,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
vok okus jeseni;S645;500g;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
vok okus poletja;S648;500g;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranji bbq steak;S651;550g;6,25 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanec z dodano drobovino, natur premium;S654;1kg;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji file, natur premium;S657;500g;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèje kraèe, natur premium;S660;500g;3,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji èevapèièi;S663;400g;4,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèje pleskavice;S666;400g;4,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèje peruti;S669;600g;3,65 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèja nabodala s sirom;S672;1kg;11,51 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita Agromerkur d.o.o.;319;Industrijska ulica 8, 9000 Murska Sobota, Slovenija;02 543 92 60;
bio pišèanèji file;S675;1kg;19,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
mediteranski pišèanec natur premium;S678;1kg;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji ražnièi piknik;S681;1kg;13,23 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèji ražnièi coctail piknik;S684;360g;4,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranji file zrezek natur;S687;400g;5,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranji medaljoni natur;S690;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranje kraèe natur;S693;400g;2,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranji zrezki stegna natur;S696;500g;4,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranje delikatesne peruti natur;S699;500g;3,65 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranja stegna kocke natur;S702;500g;4,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
puranja srca in jetra natur;S705;500g;2,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
pišèanèja stegna in kraèe;S708;1kg;3,98 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
mleto meso;S711;480g;2,75 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
pišèanèja stegna brez kosti in kože, natur premium;S714;1kg;11,78 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
goveje kosti;S717;1kg;2,48 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;664;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201;
sarajevski èevapèièi;S720;480g;4,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita MIR d.d.;706;Ljutomerska c. 28a, 9250 Gornja Radgona, Slovenija;02 564 91 40;
sarajevska pleskavica;S723;480g;4,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita MIR d.d.;706;Ljutomerska c. 28a, 9250 Gornja Radgona, Slovenija;02 564 91 40;
pišèanèja bedra;S726;1kg;6,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèje kraèe;S729;1kg;5,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
pišèanèja stegna;S732;1kg;5,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;445;Kal 1, 6257 Pivka, Slovenija;05 703 10 00;
sarajevska pleskavica;S735;480g;3,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;664;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201;
sarajevski èevapèièi;S738;480g;4,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;664;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201;
eko mlado goveje stegno ekodar;S741;1kg;17,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;KZ Šaleška dolina z.o.o.;538;Metleèe 7, 3325 Šoštanj, Slovenija;03 898 49 70;
mlado goveje mleèe ekodar;S744;1kg;15,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;KZ Šaleška dolina z.o.o.;538;Metleèe 7, 3325 Šoštanj, Slovenija;03 898 49 70;
zrezek iz pišèanjih beder;S747;1kg;8,98 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;397;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00;
èevapèièi teleèji;S750;480g;4,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita MIR d.d.;706;Ljutomerska c. 28a, 9250 Gornja Radgona, Slovenija;02 564 91 40;
mlada goveja ledja s kostjo;S753;1kg;18,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;152;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70;
t-bone goveji steak;S756;1kg;27,29 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;152;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70;
steak argentinski;S759;1kg;19,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;664;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201;
meso za golaž kocke;S762;500g;5,29 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;664;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201;
goveja ledja s kostjo;S765;1kg;17,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;613;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00;
t-bone steak porterhouse;S768;1kg;29,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;613;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00;
t-bone steak;S771;1kg;27,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;613;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00;
krožnik za juho;S774;1kg;8,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;664;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201;
goveja ledja brez kosti zrezek;S777;1kg;31,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;613;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00;
t-bone steak porterhouse;S780;1kg;30,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;152;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70;
svinjski kare;S783;1kg;5,38 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
svinjski zrezki;S786;480g;2,64 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
mleto mešano meso;S789;1kg;4,15 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
masa za èevapèièe;S792;1kg;3,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
svinjski kare zrezek;S795;500g;4,15 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
