;;;;;;;;;;;;;
IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.;
krompir;S42;1kg;0,71 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
krompir za kuhanje;S45;1kg;0,84 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
krompir s-budget;S48;1kg;0,65 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
krompir za peèenje;S51;1kg;0,84 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
mladi krompir;S54;1kg;1,14 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
mladi bio krompir spar natur*pur;S57;1kg;5,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
sladki krompir;S60;1kg;2,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
krompir poreklo slovensko;S63;1kg;0,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
krompir rdeèi;S66;1kg;0,65 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;458;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68;
krompir bistra spar nekoè;S69;1kg;0,70 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
slovenski krompir;S72;1kg;0,40 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Janež Jože, Kadivec Robert, Zmrzlikar Janez, Kastelic Drago;101;/;/;
motovilec;S75;1kg;9,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
rukola;S78;1kg;9,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio motovilec spar natur*pur;S81;1kg;12,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
špinaèa;S84;1kg;3,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio špinaèa spar natur*pur;S87;1kg;12,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio rukola spar natur*pur;S90;1kg;12,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio brokoli in cvetaèa spar natur*pur;S93;1kg;7,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
solata gentile;S96;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Kuhar Božidar, Èebašek Anton, Kadivec Robert, Kralj Marta, Zupan Primož;102;/;/;
solata endivija;S99;1kg;2,19 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
solata ledenka;S102;1kg;2,19 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èebašek Anton, Kuhar Božidar, Kadivec Robert;103;/;/;
blitva;S105;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Blažun Ivan, Kralj Marta;104;/;/;
mehka solata;S108;1kg;2,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
koleraba;S111;1kg;1,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;458;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68;
bio rdeèa pesa spar natur*pur;S114;1kg;2,92 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
janež koromaè;S117;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
èrna redkev;S120;1kg;0,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
rdeèa pesa;S123;1kg;0,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;458;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68;
hren;S126;1kg;3,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio peteršilj korenina spar natur*pur;S129;1kg;12,30 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
zelena gomolj;S132;1kg;1,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;458;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68;
zelena stebelna;S135;1kg;1,69 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
peteršilj, list;S138;1kg;3,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
peteršilj, korenina;S141;1kg;2,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Zelenjava Forminka d.o.o.;268;Formin 32C, 2272 Gorišnica, Slovenija;02 743 50 26;
bio korenje spar natur*pur;S144;1kg;2,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
korenje;S147;1kg;1,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
korenje;S150;1kg;1,09 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
